openalex_id,doi,publication_year,journal_short,title,n_authors,n_female,n_male,n_undetermined,n_determined,share_female_of_determined,any_female,first_author_gender,last_author_gender,all_undetermined
https://openalex.org/W2884891121,10.1257/aer.20191758,2021,AER,Notching R&amp;D Investment with Corporate Income Tax Cuts in China,4,0,2,2,2,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W2887450805,10.1257/aer.20200295,2021,AER,Can Network Theory-Based Targeting Increase Technology Adoption?,4,2,2,0,4,0.5000,TRUE,female,male,FALSE
https://openalex.org/W2973701128,10.1257/aer.20200705,2021,AER,On Her Own Account: How Strengthening Women’s Financial Control Impacts Labor Supply and Gender Norms,5,5,0,0,5,1.0000,TRUE,female,female,FALSE
https://openalex.org/W2995374774,10.1257/aer.20191780,2021,AER,Types of Contact: A Field Experiment on Collaborative and Adversarial Caste Integration,1,0,1,0,1,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3150052525,10.1257/aer.20201112,2022,AER,Reshaping Adolescents' Gender Attitudes: Evidence from a School-Based Experiment in India,3,2,1,0,3,0.6667,TRUE,female,female,FALSE
https://openalex.org/W3150080251,10.1257/aer.20200956,2024,AER,From Fog to Smog: The Value of Pollution Information,4,0,1,3,1,0.0000,FALSE,undetermined,male,FALSE
https://openalex.org/W2909598045,10.1257/aer.20191234,2022,AER,Migrants and Firms: Evidence from China,4,0,2,2,2,0.0000,FALSE,male,undetermined,FALSE
https://openalex.org/W4392295937,10.1257/aer.20221215,2024,AER,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,6,0,2,4,2,0.0000,FALSE,male,undetermined,FALSE
https://openalex.org/W4313303421,10.1257/aer.20191701,2022,AER,Conflict and Intergroup Trade: Evidence from the 2014 Russia-Ukraine Crisis,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4310177461,10.1257/aer.20181506,2022,AER,Earnings Inequality and the Minimum Wage: Evidence from Brazil,2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3124765710,10.1257/aer.20171867,2022,AER,"Political Turnover, Bureaucratic Turnover, and the Quality of Public Services",3,3,0,0,3,1.0000,TRUE,female,female,FALSE
https://openalex.org/W4298012885,10.1257/aer.20210766,2022,AER,"Credit, Attention, and Externalities in the Adoption of Energy Efficient Technologies by Low-Income Households",2,1,1,0,2,0.5000,TRUE,female,male,FALSE
https://openalex.org/W4293568589,10.1257/aer.20181249,2022,AER,The Rise and Fall of Local Elections in China,4,2,1,1,3,0.6667,TRUE,female,undetermined,FALSE
https://openalex.org/W2783385777,10.1257/aer.20200751,2022,AER,Targeting High Ability Entrepreneurs Using Community Information: Mechanism Design in the Field,3,1,1,1,2,0.5000,TRUE,undetermined,male,FALSE
https://openalex.org/W2953307258,10.1257/aer.20190830,2021,AER,"How Research Affects Policy: Experimental Evidence from 2,150 Brazilian Municipalities",4,1,3,0,4,0.2500,TRUE,male,male,FALSE
https://openalex.org/W4225134649,10.1257/aer.20201283,2022,AER,"Rebel on the Canal: Disrupted Trade Access and Social Conflict in China, 1650–1911",2,0,0,2,0,,FALSE,undetermined,undetermined,TRUE
https://openalex.org/W3080395694,10.1257/aer.20211519,2024,AER,When Tariffs Disrupt Global Supply Chains,3,0,3,0,3,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4310177458,10.1257/aer.20181805,2022,AER,"Interaction, Stereotypes, and Performance: Evidence from South Africa",3,3,0,0,3,1.0000,TRUE,female,female,FALSE
https://openalex.org/W2936203654,10.1257/aer.20190388,2021,AER,Job Displacement Insurance and (the Lack of) Consumption-Smoothing,2,1,1,0,2,0.5000,TRUE,male,female,FALSE
https://openalex.org/W4283367986,10.1257/aer.20201159,2022,AER,Local Elites as State Capacity: How City Chiefs Use Local Information to Increase Tax Compliance in the Democratic Republic of the Congo,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W4200124540,10.1257/aer.20201237,2021,AER,Tax Administration versus Tax Rates: Evidence from Corporate Taxation in Indonesia,4,1,1,2,2,0.5000,TRUE,undetermined,male,FALSE
https://openalex.org/W4387096937,10.1257/aer.20210419,2023,AER,"Profits, Scale Economies, and the Gains from Trade and Industrial Policy",2,0,2,0,2,0.0000,FALSE,male,male,FALSE
https://openalex.org/W3203280048,10.1257/aer.20181596,2021,AER,Assortative Matching or Exclusionary Hiring? The Impact of Employment and Pay Policies on Racial Wage Differences in Brazil,4,0,4,0,4,0.0000,FALSE,male,male,FALSE
https://openalex.org/W2979844637,10.1257/aer.20210970,2023,AER,Law and Norms: Empirical Evidence,3,2,1,0,3,0.6667,TRUE,male,female,FALSE
